athlete_Sport,athlete_keyword,programs_Sport,programs_Discipline,Code,match_method
Swimming,swimming women's 200 metres backstroke,Aquatics,Swimming,SWM,sub_sport
Cycling,"cycling men's road race, team",Cycling,Road,CRD,keyword
Wrestling,"wrestling women's flyweight, freestyle",Wrestling,Freestyle,WRF,keyword
Swimming,swimming women's 10 kilometres open water,Aquatics,Swimming,SWM,sub_sport
Sailing,sailing mixed 6 metres,Sailing,Sailing,SAL,single_disc
Water Polo,water polo men's water polo,Aquatics,Water Polo,WPO,sub_sport
Swimming,swimming men's 10 kilometres open water,Aquatics,Swimming,SWM,sub_sport
Rowing,rowing men's quadruple sculls,Rowing,Rowing,ROW,default
Swimming,swimming women's 200 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Wrestling,"wrestling men's super-heavyweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Wrestling,"wrestling men's super-heavyweight, freestyle",Wrestling,Freestyle,WRF,keyword
Sailing,sailing women's skiff,Sailing,Sailing,SAL,single_disc
Judo,judo women's half-heavyweight,Judo,Judo,JUD,single_disc
Canoeing,"canoeing men's kayak fours, 1,000 metres",Canoeing,Sprint,CSP,default
Tennis,tennis men's doubles,Tennis,Tennis,TEN,single_disc
Equestrianism,"equestrianism men's three-day event, individual",Equestrian,Eventing,EVE,keyword
Equestrianism,"equestrianism men's three-day event, team",Equestrian,Eventing,EVE,keyword
Canoeing,"canoeing men's kayak doubles, 500 metres",Canoeing,Sprint,CSP,default
Athletics,athletics women's 100 metres hurdles,Athletics,Athletics,ATH,single_disc
Rowing,rowing men's double sculls,Rowing,Rowing,ROW,default
Fencing,"fencing women's foil, team",Fencing,Fencing,FEN,single_disc
Gymnastics,gymnastics women's horse vault,Gymnastics,Artistic,GAR,default
Sailing,sailing mixed multihull,Sailing,Sailing,SAL,single_disc
Rowing,rowing men's coxed pairs,Rowing,Rowing,ROW,default
Equestrianism,"equestrianism mixed dressage, individual",Equestrian,Dressage,EDR,keyword
Shooting,"shooting mixed rapid-fire pistol, 25 metres",Shooting,Shooting,SHO,single_disc
Canoeing,"canoeing men's kayak singles, 500 metres",Canoeing,Sprint,CSP,default
Canoeing,"canoeing men's kayak doubles, 1,000 metres",Canoeing,Sprint,CSP,default
Canoeing,"canoeing men's kayak singles, 1,000 metres",Canoeing,Sprint,CSP,default
Canoeing,"canoeing men's kayak doubles, 200 metres",Canoeing,Sprint,CSP,default
Cycling,cycling men's madison,Cycling,Track,CTR,keyword
Athletics,athletics women's hammer throw,Athletics,Athletics,ATH,single_disc
Cycling,cycling men's 50 kilometres,Cycling,Track,CTR,keyword
Tennis,tennis mixed doubles,Tennis,Tennis,TEN,single_disc
Shooting,"shooting mixed small-bore rifle, three positions, 50 metres",Shooting,Shooting,SHO,single_disc
Cycling,cycling women's bmx,Cycling,BMX Racing,BMX,keyword
Tennis,tennis women's doubles,Tennis,Tennis,TEN,single_disc
Rowing,rowing men's lightweight coxless fours,Rowing,Rowing,ROW,default
Shooting,"shooting women's small-bore rifle, three positions, 50 metres",Shooting,Shooting,SHO,single_disc
Sailing,sailing mixed 5.5 metres,Sailing,Sailing,SAL,single_disc
Beach Volleyball,beach volleyball women's beach volleyball,Volleyball,Beach,VBV,sub_sport
Judo,judo men's open class,Judo,Judo,JUD,single_disc
Athletics,athletics women's pole vault,Athletics,Athletics,ATH,single_disc
Rowing,rowing women's lightweight double sculls,Rowing,Rowing,ROW,default
Art Competitions,art competitions mixed unknown event,,EXCLUDED,,excluded
Cycling,"cycling men's tandem sprint, 2,000 metres",Cycling,Track,CTR,keyword
Shooting,shooting men's skeet,Shooting,Shooting,SHO,single_disc
Shooting,shooting women's skeet,Shooting,Shooting,SHO,single_disc
Diving,diving women's springboard,Aquatics,Diving,DIV,sub_sport
Golf,golf men's individual,Golf,Golf,GLF,single_disc
Equestrianism,"equestrianism men's dressage, individual",Equestrian,Dressage,EDR,keyword
Equestrianism,"equestrianism men's dressage, team",Equestrian,Dressage,EDR,keyword
Sailing,sailing mixed two person dinghy,Sailing,Sailing,SAL,single_disc
Athletics,athletics men's 50 kilometres walk,Athletics,Athletics,ATH,single_disc
Modern Pentathlon,modern pentathlon women's individual,Modern Pentathlon,,MPN,single_disc
Weightlifting,weightlifting women's heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Sailing,sailing men's skiff,Sailing,Sailing,SAL,single_disc
Taekwondo,taekwondo women's flyweight,Taekwondo,Taekwondo,TKW,single_disc
Canoeing,"canoeing men's kayak singles, slalom",Canoeing,Slalom,CSL,keyword
Cycling,cycling men's individual time trial,Cycling,Road,CRD,keyword
Athletics,athletics women's shot put,Athletics,Athletics,ATH,single_disc
Sailing,sailing women's two person dinghy,Sailing,Sailing,SAL,single_disc
Sailing,sailing men's one person heavyweight dinghy,Sailing,Sailing,SAL,single_disc
Cycling,cycling men's omnium,Cycling,Track,CTR,keyword
Shooting,"shooting mixed running target, 50 metres",Shooting,Shooting,SHO,single_disc
Diving,diving women's platform,Aquatics,Diving,DIV,sub_sport
Shooting,shooting mixed skeet,Shooting,Shooting,SHO,single_disc
Canoeing,"canoeing men's canadian singles, slalom",Canoeing,Slalom,CSL,keyword
Taekwondo,taekwondo women's welterweight,Taekwondo,Taekwondo,TKW,single_disc
Athletics,athletics women's 80 metres hurdles,Athletics,Athletics,ATH,single_disc
Figure Skating,figure skating men's singles,,EXCLUDED,,excluded
Wrestling,"wrestling men's flyweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Canoeing,"canoeing men's kayak singles, 200 metres",Canoeing,Sprint,CSP,default
Equestrian,jumping team,Equestrian,Jumping,EJP,keyword
Equestrian,jumping individual,Equestrian,Jumping,EJP,keyword
Hockey,women team,Field hockey,Field hockey,HOC,single_disc
Football,men team,Football,Football,FBL,single_disc
Rugby Sevens,men team,Rugby,Sevens,RU7,sub_sport
Athletics,men's marathon,Athletics,Athletics,ATH,single_disc
Boxing,men's welter (63-69kg),Boxing,Boxing,BOX,single_disc
Beach Volleyball,men team,Volleyball,Beach,VBV,sub_sport
Tennis,men's doubles team,Tennis,Tennis,TEN,single_disc
Handball,men team,Handball,Indoor,HBL,default
Swimming,women's 400m individual medley,Aquatics,Swimming,SWM,sub_sport
Triathlon,women's individual,Triathlon,Triathlon,TRI,single_disc
Basketball,men team,Basketball,Basketball,BKB,default
Sailing,women's skiff - 49er team,Sailing,Sailing,SAL,single_disc
Hockey,men team,Field hockey,Field hockey,HOC,single_disc
Volleyball,women team,Volleyball,Indoor,VVO,default
Sailing,mixed multihull - nacra 17 foiling team,Sailing,Sailing,SAL,single_disc
Athletics,men's pole vault,Athletics,Athletics,ATH,single_disc
Volleyball,men team,Volleyball,Indoor,VVO,default
Boxing,men's feather (52-57kg),Boxing,Boxing,BOX,single_disc
Shooting,50m rifle 3 positions men,Shooting,Shooting,SHO,single_disc
Shooting,10m air rifle mixed team,Shooting,Shooting,SHO,single_disc
Beach Volleyball,women team,Volleyball,Beach,VBV,sub_sport
Shooting,skeet men,Shooting,Shooting,SHO,single_disc
Shooting,skeet women,Shooting,Shooting,SHO,single_disc
Athletics,women's marathon,Athletics,Athletics,ATH,single_disc
Cycling Mountain Bike,women's cross-country,Cycling,Mountain Bike,MTB,sub_sport
Sailing,men's one person dinghy - laser,Sailing,Sailing,SAL,single_disc
Sailing,women's two person dinghy - 470 team,Sailing,Sailing,SAL,single_disc
Rowing,lightweight women's double sculls team,Rowing,Rowing,ROW,default
Sailing,men's one person dinghy (heavyweight) - finn,Sailing,Sailing,SAL,single_disc
Judo,women -48 kg,Judo,Judo,JUD,single_disc
Swimming,women's 800m freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 1500m freestyle,Aquatics,Swimming,SWM,sub_sport
Tennis,mixed doubles team,Tennis,Tennis,TEN,single_disc
Canoe Sprint,men's kayak single 200m,Canoeing,Sprint,CSP,sub_sport
Canoe Slalom,men's kayak,Canoeing,Slalom,CSL,sub_sport
Golf,women's individual stroke play,Golf,Golf,GLF,single_disc
Cycling BMX Racing,men,Cycling,BMX Racing,BMX,sub_sport
Surfing,men,Surfing,Surfing,SRF,single_disc
Modern Pentathlon,men's individual,Modern Pentathlon,,MPN,single_disc
Swimming,women's 400m freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 100m backstroke,Aquatics,Swimming,SWM,sub_sport
Athletics,men's hammer throw,Athletics,Athletics,ATH,single_disc
Athletics,men's 400m,Athletics,Athletics,ATH,single_disc
Athletics,men's shot put,Athletics,Athletics,ATH,single_disc
Sailing,mixed multihull,Sailing,Sailing,SAL,single_disc
Sailing,women's windsurfing,Sailing,Sailing,SAL,single_disc
Sailing,women's kite,Sailing,Sailing,SAL,single_disc
Hockey,women,Field hockey,Field hockey,HOC,single_disc
Hockey,men,Field hockey,Field hockey,HOC,single_disc
Golf,men's individual stroke play,Golf,Golf,GLF,single_disc
Handball,men,Handball,Indoor,HBL,default
Rugby Sevens,men,Rugby,Sevens,RU7,sub_sport
Skateboarding,men's street,Skateboarding,Skateboarding,SKB,single_disc
Judo,women -52 kg,Judo,Judo,JUD,single_disc
Sailing,women's dinghy,Sailing,Sailing,SAL,single_disc
Rowing,lightweight women's double sculls,Rowing,Rowing,ROW,default
Rowing,lightweight men's double sculls,Rowing,Rowing,ROW,default
Volleyball,men,Volleyball,Indoor,VVO,default
Archery,men's individual,Archery,Archery,ARC,single_disc
Cycling BMX Freestyle,men's park,Cycling,BMX Freestyle,BMF,sub_sport
Football,men,Football,Football,FBL,single_disc
Weightlifting,weightlifting women's light-heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Diving,diving men's platform,Aquatics,Diving,DIV,sub_sport
Artistic Gymnastics,men's vault,Gymnastics,Artistic,GAR,sub_sport
Weightlifting,men's 109kg,Weightlifting,Weightlifting,WLF,single_disc
Weightlifting,women's 59kg,Weightlifting,Weightlifting,WLF,single_disc
Weightlifting,men's 89kg,Weightlifting,Weightlifting,WLF,single_disc
Swimming,women's 100m butterfly,Aquatics,Swimming,SWM,sub_sport
Artistic Gymnastics,men,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,men's rings,Gymnastics,Artistic,GAR,sub_sport
Swimming,men's 200m freestyle,Aquatics,Swimming,SWM,sub_sport
Cycling BMX Racing,women,Cycling,BMX Racing,BMX,sub_sport
Swimming,swimming men's 4 x 100 metres freestyle relay,Aquatics,Swimming,SWM,sub_sport
Archery,archery women's individual,Archery,Archery,ARC,single_disc
Rowing,rowing women's coxed eights,Rowing,Rowing,ROW,default
Sailing,sailing mixed two person heavyweight dinghy,Sailing,Sailing,SAL,single_disc
Gymnastics,gymnastics women's team all-around,Gymnastics,Artistic,GAR,default
Softball,softball women's softball,Baseball and Softball,Softball,SBL,sub_sport
Synchronized Swimming,synchronized swimming women's team,Aquatics,Artistic Swimming,SWA,sub_sport
Shooting,"shooting men's running target, single and double shot",Shooting,Shooting,SHO,single_disc
Baseball,baseball men's baseball,Baseball and Softball,Baseball,BSB,sub_sport
Cycling,cycling women's team pursuit,Cycling,Track,CTR,keyword
Water Polo,water polo women's water polo,Aquatics,Water Polo,WPO,sub_sport
Sailing,sailing mixed skiff,Sailing,Sailing,SAL,single_disc
Canoeing,"canoeing men's kayak singles, 10,000 metres",Canoeing,Sprint,CSP,default
Shooting,shooting women's trap,Shooting,Shooting,SHO,single_disc
Shooting,shooting women's double trap,Shooting,Shooting,SHO,single_disc
Badminton,badminton mixed doubles,Badminton,Badminton,BDM,single_disc
Badminton,badminton men's doubles,Badminton,Badminton,BDM,single_disc
Archery,archery men's team,Archery,Archery,ARC,single_disc
Diving,diving men's synchronized springboard,Aquatics,Diving,DIV,sub_sport
Cycling,"cycling women's individual pursuit, 3,000 metres",Cycling,Track,CTR,keyword
Cycling,cycling women's points race,Cycling,Track,CTR,keyword
Cycling,"cycling women's road race, individual",Cycling,Road,CRD,keyword
Cycling,cycling men's keirin,Cycling,Track,CTR,keyword
Cycling,cycling men's team sprint,Cycling,Track,CTR,keyword
Sailing,sailing men's two person keelboat,Sailing,Sailing,SAL,single_disc
Diving,diving women's plain high,Aquatics,Diving,DIV,sub_sport
Swimming,swimming women's 300 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Rugby Sevens,rugby sevens women's rugby sevens,Rugby,Sevens,RU7,sub_sport
Canoeing,"canoeing men's canadian doubles, slalom",Canoeing,Slalom,CSL,keyword
Equestrianism,"equestrianism mixed dressage, team",Equestrian,Dressage,EDR,keyword
Rhythmic Gymnastics,rhythmic gymnastics women's individual,Gymnastics,Rhythmic,GRY,sub_sport
Athletics,athletics women's 10 kilometres walk,Athletics,Athletics,ATH,single_disc
Rowing,rowing women's quadruple sculls,Rowing,Rowing,ROW,default
Rowing,rowing women's coxed fours,Rowing,Rowing,ROW,default
Archery,archery women's team,Archery,Archery,ARC,single_disc
Canoeing,"canoeing men's kayak doubles, 10,000 metres",Canoeing,Sprint,CSP,default
Diving,diving women's synchronized platform,Aquatics,Diving,DIV,sub_sport
Taekwondo,taekwondo women's featherweight,Taekwondo,Taekwondo,TKW,single_disc
Badminton,badminton women's singles,Badminton,Badminton,BDM,single_disc
Badminton,badminton women's doubles,Badminton,Badminton,BDM,single_disc
Diving,diving women's synchronized springboard,Aquatics,Diving,DIV,sub_sport
Canoeing,canoeing men's kayak relay 4 x 500 metres,Canoeing,Sprint,CSP,default
Sailing,sailing women's three person keelboat,Sailing,Sailing,SAL,single_disc
Trampolining,trampolining women's individual,Gymnastics,Trampoline,GTR,sub_sport
Table Tennis,table tennis men's team,Table Tennis,Table Tennis,TTE,single_disc
Rowing,rowing women's coxless fours,Rowing,Rowing,ROW,default
Athletics,athletics men's pentathlon,Athletics,Athletics,ATH,single_disc
Cycling,cycling women's omnium,Cycling,Track,CTR,keyword
Diving,diving men's plain high,Aquatics,Diving,DIV,sub_sport
Cycling,cycling women's sprint,Cycling,Track,CTR,keyword
Cycling,cycling women's 500 metres time trial,Cycling,Track,CTR,keyword
Boxing,boxing women's middleweight,Boxing,Boxing,BOX,single_disc
Athletics,athletics women's pentathlon,Athletics,Athletics,ATH,single_disc
Swimming,swimming men's 220 yard freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming men's 440 yard freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming men's 880 yard freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming men's one mile freestyle,Aquatics,Swimming,SWM,sub_sport
Cycling,cycling women's individual time trial,Cycling,Road,CRD,keyword
Shooting,"shooting men's running target, 10 metres",Shooting,Shooting,SHO,single_disc
Canoeing,"canoeing men's canadian singles, 10,000 metres",Canoeing,Sprint,CSP,default
Weightlifting,weightlifting men's flyweight,Weightlifting,Weightlifting,WLF,single_disc
Diving,diving men's synchronized platform,Aquatics,Diving,DIV,sub_sport
Canoeing,"canoeing men's canadian doubles, 10,000 metres",Canoeing,Sprint,CSP,default
Swimming,swimming men's 200 metres obstacle course,Aquatics,Swimming,SWM,sub_sport
Table Tennis,table tennis women's team,Table Tennis,Table Tennis,TTE,single_disc
Golf,golf women's individual,Golf,Golf,GLF,single_disc
Taekwondo,taekwondo women's heavyweight,Taekwondo,Taekwondo,TKW,single_disc
Cycling,cycling women's team sprint,Cycling,Track,CTR,keyword
Cycling,cycling women's keirin,Cycling,Track,CTR,keyword
Athletics,"athletics men's 3,000 metres walk",Athletics,Athletics,ATH,single_disc
Art Competitions,"art competitions mixed painting, unknown event",,EXCLUDED,,excluded
Art Competitions,art competitions mixed music,,EXCLUDED,,excluded
Athletics,athletics men's 60 metres,Athletics,Athletics,ATH,single_disc
Athletics,"athletics men's 5,000 metres, team",Athletics,Athletics,ATH,single_disc
Taekwondo,taekwondo men's heavyweight,Taekwondo,Taekwondo,TKW,single_disc
Boxing,boxing women's lightweight,Boxing,Boxing,BOX,single_disc
Shooting,"shooting men's running target, 50 metres",Shooting,Shooting,SHO,single_disc
Rhythmic Gymnastics,group all-around team,Gymnastics,Rhythmic,GRY,sub_sport
Rowing,women's eight team,Rowing,Rowing,ROW,default
Basketball,women team,Basketball,Basketball,BKB,default
Weightlifting,women's +87kg,Weightlifting,Weightlifting,WLF,single_disc
Water Polo,women team,Aquatics,Water Polo,WPO,sub_sport
Cycling Track,women's team pursuit team,Cycling,Track,CTR,sub_sport
Rowing,men's quadruple sculls team,Rowing,Rowing,ROW,default
Football,women team,Football,Football,FBL,single_disc
Rugby Sevens,women team,Rugby,Sevens,RU7,sub_sport
Shooting,10m air pistol mixed team,Shooting,Shooting,SHO,single_disc
Cycling Track,women's omnium,Cycling,Track,CTR,sub_sport
Cycling Track,women's madison team,Cycling,Track,CTR,sub_sport
Athletics,women's javelin throw,Athletics,Athletics,ATH,single_disc
Archery,men's team,Archery,Archery,ARC,single_disc
Tennis,women's doubles team,Tennis,Tennis,TEN,single_disc
Rowing,women's double sculls team,Rowing,Rowing,ROW,default
Athletics,women's 5000m,Athletics,Athletics,ATH,single_disc
Athletics,women's 4 x 400m relay team,Athletics,Athletics,ATH,single_disc
Triathlon,men's individual,Triathlon,Triathlon,TRI,single_disc
Triathlon,mixed relay team,Triathlon,Triathlon,TRI,single_disc
Athletics,women's 800m,Athletics,Athletics,ATH,single_disc
Rowing,men's eight team,Rowing,Rowing,ROW,default
Canoe Sprint,women's kayak double 500m team,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,women's kayak four 500m team,Canoeing,Sprint,CSP,sub_sport
Table Tennis,women's team,Table Tennis,Table Tennis,TTE,single_disc
Artistic Swimming,team,Aquatics,Artistic Swimming,SWA,sub_sport
Artistic Gymnastics,men's parallel bars,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,men's horizontal bar,Gymnastics,Artistic,GAR,sub_sport
Canoe Sprint,women's canoe double 500m team,Canoeing,Sprint,CSP,sub_sport
Swimming,women's 4 x 100m freestyle relay team,Aquatics,Swimming,SWM,sub_sport
Swimming,mixed 4 x 100m medley relay team,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 4 x 100m medley relay team,Aquatics,Swimming,SWM,sub_sport
Water Polo,men team,Aquatics,Water Polo,WPO,sub_sport
Modern Pentathlon,women's individual,Modern Pentathlon,,MPN,single_disc
Swimming,men's 4 x 100m freestyle relay team,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 4 x 200m freestyle relay team,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 4 x 100m medley relay team,Aquatics,Swimming,SWM,sub_sport
Badminton,women's singles,Badminton,Badminton,BDM,single_disc
Athletics,women's 100m hurdles,Athletics,Athletics,ATH,single_disc
Swimming,women's 4 x 200m freestyle relay team,Aquatics,Swimming,SWM,sub_sport
Judo,women -70 kg,Judo,Judo,JUD,single_disc
Athletics,men's 50km race walk,Athletics,Athletics,ATH,single_disc
Baseball/Softball,softball team,Baseball and Softball,Softball,SBL,keyword
Rowing,women's quadruple sculls team,Rowing,Rowing,ROW,default
Athletics,women's 200m,Athletics,Athletics,ATH,single_disc
Cycling BMX Freestyle,women's park,Cycling,BMX Freestyle,BMF,sub_sport
Athletics,men's decathlon,Athletics,Athletics,ATH,single_disc
Athletics,men's 1500m,Athletics,Athletics,ATH,single_disc
Marathon Swimming,men's 10km,Aquatics,Marathon Swimming,OWS,sub_sport
Weightlifting,women's 64kg,Weightlifting,Weightlifting,WLF,single_disc
Shooting,25m rapid fire pistol men,Shooting,Shooting,SHO,single_disc
Surfing,women,Surfing,Surfing,SRF,single_disc
Canoe Sprint,men's kayak double 1000m team,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,men's kayak four 500m team,Canoeing,Sprint,CSP,sub_sport
Diving,men's 10m platform,Aquatics,Diving,DIV,sub_sport
Cycling Track,men's team sprint team,Cycling,Track,CTR,sub_sport
Cycling Track,men's keirin,Cycling,Track,CTR,sub_sport
Shooting,trap men,Shooting,Shooting,SHO,single_disc
Shooting,trap mixed team,Shooting,Shooting,SHO,single_disc
Athletics,women's 1500m,Athletics,Athletics,ATH,single_disc
Diving,women's 10m platform,Aquatics,Diving,DIV,sub_sport
Equestrian,dressage individual,Equestrian,Dressage,EDR,keyword
Equestrian,dressage team,Equestrian,Dressage,EDR,keyword
Rowing,men's pair team,Rowing,Rowing,ROW,default
Rowing,men's four team,Rowing,Rowing,ROW,default
Cycling Track,men's sprint,Cycling,Track,CTR,sub_sport
Athletics,women's 20km race walk,Athletics,Athletics,ATH,single_disc
Swimming,men's 200m backstroke,Aquatics,Swimming,SWM,sub_sport
Cycling Track,men's team pursuit team,Cycling,Track,CTR,sub_sport
Cycling Track,men's madison team,Cycling,Track,CTR,sub_sport
Equestrian,eventing team,Equestrian,Eventing,EVE,keyword
Equestrian,eventing individual,Equestrian,Eventing,EVE,keyword
Table Tennis,mixed doubles team,Table Tennis,Table Tennis,TTE,single_disc
Table Tennis,men's team,Table Tennis,Table Tennis,TTE,single_disc
Taekwondo,women -57kg,Taekwondo,Taekwondo,TKW,single_disc
Rhythmic Gymnastics,individual all-around,Gymnastics,Rhythmic,GRY,sub_sport
Archery,women's individual,Archery,Archery,ARC,single_disc
Archery,mixed team,Archery,Archery,ARC,single_disc
Athletics,women's pole vault,Athletics,Athletics,ATH,single_disc
Swimming,men's 400m individual medley,Aquatics,Swimming,SWM,sub_sport
Badminton,mixed doubles team,Badminton,Badminton,BDM,single_disc
Diving,men's 3m springboard,Aquatics,Diving,DIV,sub_sport
Sport Climbing,women's combined,Sport Climbing,Sport Climbing,CLB,single_disc
Cycling Track,women's madison,Cycling,Track,CTR,sub_sport
Badminton,women's doubles team,Badminton,Badminton,BDM,single_disc
Taekwondo,men -80kg,Taekwondo,Taekwondo,TKW,single_disc
Cycling Mountain Bike,men's cross-country,Cycling,Mountain Bike,MTB,sub_sport
Cycling Track,women's sprint,Cycling,Track,CTR,sub_sport
Cycling Track,women's keirin,Cycling,Track,CTR,sub_sport
Athletics,women's high jump,Athletics,Athletics,ATH,single_disc
Athletics,men's 5000m,Athletics,Athletics,ATH,single_disc
Rowing,women's pair team,Rowing,Rowing,ROW,default
Rowing,women's four team,Rowing,Rowing,ROW,default
Swimming,men's 400m freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 800m freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 1500m freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 200m butterfly,Aquatics,Swimming,SWM,sub_sport
Boxing,women's feather (54-57kg),Boxing,Boxing,BOX,single_disc
Athletics,women's 400m,Athletics,Athletics,ATH,single_disc
Cycling Track,men's omnium,Cycling,Track,CTR,sub_sport
Sport Climbing,men's combined,Sport Climbing,Sport Climbing,CLB,single_disc
Skateboarding,women's park,Skateboarding,Skateboarding,SKB,single_disc
Skateboarding,men's park,Skateboarding,Skateboarding,SKB,single_disc
Sailing,men's skiff - 49er team,Sailing,Sailing,SAL,single_disc
Diving,women's 3m springboard,Aquatics,Diving,DIV,sub_sport
Artistic Swimming,duet team,Aquatics,Artistic Swimming,SWA,sub_sport
Shooting,trap women,Shooting,Shooting,SHO,single_disc
Athletics,men's high jump,Athletics,Athletics,ATH,single_disc
Athletics,women's discus throw,Athletics,Athletics,ATH,single_disc
Taekwondo,women +67kg,Taekwondo,Taekwondo,TKW,single_disc
Athletics,women's long jump,Athletics,Athletics,ATH,single_disc
Swimming,men's 200m breaststroke,Aquatics,Swimming,SWM,sub_sport
Athletics,men's 20km race walk,Athletics,Athletics,ATH,single_disc
Athletics,"men's 10,000m",Athletics,Athletics,ATH,single_disc
Canoe Slalom,men's canoe,Canoeing,Slalom,CSL,sub_sport
Skateboarding,women's street,Skateboarding,Skateboarding,SKB,single_disc
Karate,men's kumite -75kg,Karate,Karate,KTE,single_disc
Sport Climbing,men's boulder & lead,Sport Climbing,Sport Climbing,CLB,single_disc
Sport Climbing,women's boulder & lead,Sport Climbing,Sport Climbing,CLB,single_disc
Badminton,women's doubles,Badminton,Badminton,BDM,single_disc
Athletics,marathon race walk relay mixed,Athletics,Athletics,ATH,single_disc
Athletics,women's 4 x 100m relay,Athletics,Athletics,ATH,single_disc
Athletics,men's 200m,Athletics,Athletics,ATH,single_disc
Athletics,men's 4 x 100m relay,Athletics,Athletics,ATH,single_disc
Athletics,men's javelin throw,Athletics,Athletics,ATH,single_disc
Athletics,women's heptathlon,Athletics,Athletics,ATH,single_disc
Athletics,"women's 10,000m",Athletics,Athletics,ATH,single_disc
Basketball,women,Basketball,Basketball,BKB,default
3x3 Basketball,women,Basketball,3x3,BK3,sub_sport
"3x3 Basketball, Basketball",women,Basketball,3x3,BK3,sub_sport
Basketball,men,Basketball,Basketball,BKB,default
Breaking,b-boys,Breaking,Breaking,BKG,single_disc
Breaking,b-girls,Breaking,Breaking,BKG,single_disc
Boxing,women's 75kg,Boxing,Boxing,BOX,single_disc
Boxing,men's 80kg,Boxing,Boxing,BOX,single_disc
Boxing,men's 57kg,Boxing,Boxing,BOX,single_disc
Boxing,men's 71kg,Boxing,Boxing,BOX,single_disc
Boxing,women's 54kg,Boxing,Boxing,BOX,single_disc
Boxing,women's 57kg,Boxing,Boxing,BOX,single_disc
Boxing,men's 51kg,Boxing,Boxing,BOX,single_disc
Canoe Slalom,men's kayak single,Canoeing,Slalom,CSL,sub_sport
Canoe Slalom,men's kayak cross,Canoeing,Slalom,CSL,sub_sport
Canoe Slalom,men's canoe single,Canoeing,Slalom,CSL,sub_sport
Canoe Sprint,women's kayak four 500m,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,women's kayak double 500m,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,men's kayak four 500m,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,men's kayak double 500m,Canoeing,Sprint,CSP,sub_sport
Cycling Track,women's team pursuit,Cycling,Track,CTR,sub_sport
Cycling Track,men's team pursuit,Cycling,Track,CTR,sub_sport
Cycling Track,men's madison,Cycling,Track,CTR,sub_sport
Cycling Track,men's team sprint,Cycling,Track,CTR,sub_sport
Diving,women's synchronised 3m springboard,Aquatics,Diving,DIV,sub_sport
Diving,men's synchronised 10m platform,Aquatics,Diving,DIV,sub_sport
Football,women,Football,Football,FBL,single_disc
Artistic Gymnastics,women's team,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,men's all-around,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,men's floor exercise,Gymnastics,Artistic,GAR,sub_sport
Rhythmic Gymnastics,group all-around,Gymnastics,Rhythmic,GRY,sub_sport
Judo,men -60 kg,Judo,Judo,JUD,single_disc
"Marathon Swimming, Swimming",women's 10km,Aquatics,Marathon Swimming,OWS,sub_sport
"Marathon Swimming, Swimming",women's 1500m freestyle,Aquatics,Marathon Swimming,OWS,sub_sport
Rowing,men's four,Rowing,Rowing,ROW,default
Rowing,men's eight,Rowing,Rowing,ROW,default
Rowing,women's double sculls,Rowing,Rowing,ROW,default
Rowing,women's pair,Rowing,Rowing,ROW,default
Rowing,women's eight,Rowing,Rowing,ROW,default
Rowing,women's quadruple sculls,Rowing,Rowing,ROW,default
Rowing,women's four,Rowing,Rowing,ROW,default
Rowing,men's pair,Rowing,Rowing,ROW,default
Rugby Sevens,women,Rugby,Sevens,RU7,sub_sport
Sailing,women's skiff,Sailing,Sailing,SAL,single_disc
Sailing,men's skiff,Sailing,Sailing,SAL,single_disc
Swimming,women's 4 x 100m medley relay,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 4 x 200m freestyle relay,Aquatics,Swimming,SWM,sub_sport
Swimming,men's 4 x 100m medley relay,Aquatics,Swimming,SWM,sub_sport
Swimming,relay only athlete,Aquatics,Swimming,SWM,sub_sport
Swimming,women's 4 x 100m freestyle relay,Aquatics,Swimming,SWM,sub_sport
