athlete_NOC,NOC_for_join,NOC_clean,Year,Gold_ath,Silver_ath,Bronze_ath,Total_ath,Gold_off,Silver_off,Bronze_off,Total_off,Rank,diff_Gold,diff_Silver,diff_Bronze,diff_Total,abs_diff_sum,match_status
FIN,Finland,Finland,1968,1,1,2,4,1,2,1,4,24,0,-1,1,0,2,DIFFER
FRA,France,France,1968,5,7,3,15,7,3,5,15,6,-2,4,-2,0,8,DIFFER
FRG,West Germany,West Germany,1968,10,5,11,26,5,11,10,26,8,5,-6,1,0,12,DIFFER
GBR,Great Britain,Great Britain,1968,3,5,5,13,5,5,3,13,10,-2,0,2,0,4,DIFFER
GDR,East Germany,East Germany,1968,7,9,9,25,9,9,7,25,5,-2,0,2,0,4,DIFFER
GHA,GHA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GRE,Greece,Greece,1968,1,0,0,1,0,0,1,1,42,1,0,-1,0,2,DIFFER
GUA,GUA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUI,GUI,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,HKG,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HON,HON,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1968,12,10,10,32,10,10,12,32,4,2,0,-2,0,4,DIFFER
INA,INA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IND,India,India,1968,1,0,0,1,0,0,1,1,42,1,0,-1,0,2,DIFFER
IRI,Iran,Iran,1968,2,2,1,5,2,1,2,5,19,0,1,-1,0,2,DIFFER
IRL,IRL,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IRQ,IRQ,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISL,ISL,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISR,ISR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISV,ISV,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1968,9,3,4,16,3,4,9,16,13,6,-1,-5,0,12,DIFFER
JAM,Jamaica,Jamaica,1968,0,0,1,1,0,1,0,1,39,0,-1,1,0,2,DIFFER
JPN,Japan,Japan,1968,7,11,7,25,11,7,7,25,3,-4,4,0,0,8,DIFFER
KEN,Kenya,Kenya,1968,2,3,4,9,3,4,2,9,14,-1,-1,2,0,4,DIFFER
KOR,South Korea,South Korea,1968,1,0,1,2,0,1,1,2,36,1,-1,0,0,2,DIFFER
KUW,KUW,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LBA,LBA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIB,LIB,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIE,LIE,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAD,MAD,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAR,MAR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAS,MAS,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1968,3,3,3,9,3,3,3,9,15,0,0,0,0,0,MATCH
MGL,Mongolia,Mongolia,1968,3,0,1,4,0,1,3,4,34,3,-1,-2,0,6,DIFFER
MLI,MLI,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLT,MLT,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MYA,MYA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NCA,NCA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1968,1,3,3,7,3,3,1,7,17,-2,0,2,0,4,DIFFER
NGR,NGR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NIG,NIG,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,1968,0,1,1,2,1,1,0,2,25,-1,0,1,0,2,DIFFER
NZL,New Zealand,New Zealand,1968,2,1,0,3,1,0,2,3,27,1,1,-2,0,4,DIFFER
PAK,Pakistan,Pakistan,1968,0,1,0,1,1,0,0,1,29,-1,1,0,0,2,DIFFER
PAN,PAN,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAR,PAR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PER,PER,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,PHI,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1968,11,5,2,18,5,2,11,18,11,6,3,-9,0,18,DIFFER
POR,POR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PUR,PUR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,Romania,Romania,1968,5,4,6,15,4,6,5,15,12,1,-2,1,0,4,DIFFER
SEN,SEN,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SGP,SGP,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SLE,SLE,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SMR,SMR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRI,SRI,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUD,SUD,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1968,4,0,1,5,0,1,4,5,33,4,-1,-3,0,8,DIFFER
SUR,SUR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SWE,Sweden,Sweden,1968,1,2,1,4,2,1,1,4,20,-1,1,0,0,2,DIFFER
SYR,SYR,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TAN,TAN,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TCH,Czechoslovakia,Czechoslovakia,1968,4,7,2,13,7,2,4,13,7,-3,5,-2,0,10,DIFFER
THA,THA,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TPE,Taiwan,Taiwan,1968,1,0,0,1,0,0,1,1,42,1,0,-1,0,2,DIFFER
TTO,TTO,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TUN,Tunisia,Tunisia,1968,1,1,0,2,1,0,1,2,28,0,1,-1,0,2,DIFFER
TUR,Turkey,Turkey,1968,0,2,0,2,2,0,0,2,21,-2,2,0,0,4,DIFFER
UGA,Uganda,Uganda,1968,1,0,1,2,0,1,1,2,36,1,-1,0,0,2,DIFFER
URS,Soviet Union,Soviet Union,1968,30,29,32,91,29,32,30,91,2,1,-3,2,0,6,DIFFER
URU,URU,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1968,34,45,28,107,45,28,34,107,1,-11,17,-6,0,34,DIFFER
VEN,Venezuela,Venezuela,1968,0,1,0,1,1,0,0,1,29,-1,1,0,0,2,DIFFER
VNM,VNM,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YUG,Yugoslavia,Yugoslavia,1968,2,3,3,8,3,3,2,8,16,-1,0,1,0,2,DIFFER
ZAM,ZAM,,1968,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AFG,AFG,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AHO,AHO,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALB,ALB,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALG,ALG,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
AUS,Australia,Australia,1972,2,8,7,17,8,7,2,17,6,-6,1,5,0,12,DIFFER
AUT,Austria,Austria,1972,2,0,1,3,0,1,2,3,31,2,-1,-1,0,4,DIFFER
BAH,BAH,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BAR,BAR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BEL,Belgium,Belgium,1972,0,0,2,2,0,2,0,2,29,0,-2,2,0,4,DIFFER
BEN,BEN,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BER,BER,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIZ,BIZ,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOL,BOL,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,1972,2,0,0,2,0,0,2,2,41,2,0,-2,0,4,DIFFER
BUL,Bulgaria,Bulgaria,1972,5,6,10,21,6,10,5,21,9,-1,-4,5,0,10,DIFFER
BUR,BUR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAM,CAM,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1972,3,0,2,5,0,2,3,5,27,3,-2,-1,0,6,DIFFER
CGO,CGO,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHA,CHA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHI,CHI,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CIV,CIV,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CMR,CMR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,Colombia,Colombia,1972,2,0,1,3,0,1,2,3,31,2,-1,-1,0,4,DIFFER
CRC,CRC,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,Cuba,Cuba,1972,4,3,1,8,3,1,4,8,14,1,2,-3,0,6,DIFFER
DEN,Denmark,Denmark,1972,0,1,0,1,1,0,0,1,25,-1,1,0,0,2,DIFFER
DOM,DOM,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ECU,ECU,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EGY,EGY,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESA,ESA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,1972,1,0,0,1,0,0,1,1,43,1,0,-1,0,2,DIFFER
ETH,Ethiopia,Ethiopia,1972,2,0,0,2,0,0,2,2,41,2,0,-2,0,4,DIFFER
FIJ,FIJ,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,1972,4,3,1,8,3,1,4,8,14,1,2,-3,0,6,DIFFER
FRA,France,France,1972,7,2,4,13,2,4,7,13,17,5,-2,-3,0,10,DIFFER
FRG,West Germany,West Germany,1972,16,13,11,40,13,11,16,40,4,3,2,-5,0,10,DIFFER
GAB,GAB,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GBR,Great Britain,Great Britain,1972,9,4,5,18,4,5,9,18,12,5,-1,-4,0,10,DIFFER
GDR,East Germany,East Germany,1972,23,20,23,66,20,23,23,66,3,3,-3,0,0,6,DIFFER
GHA,Ghana,Ghana,1972,1,0,0,1,0,0,1,1,43,1,0,-1,0,2,DIFFER
GRE,Greece,Greece,1972,0,0,2,2,0,2,0,2,29,0,-2,2,0,4,DIFFER
GUA,GUA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,HKG,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1972,16,6,13,35,6,13,16,35,8,10,-7,-3,0,20,DIFFER
INA,INA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IND,India,India,1972,1,0,0,1,0,0,1,1,43,1,0,-1,0,2,DIFFER
IRI,Iran,Iran,1972,1,0,2,3,0,2,1,3,28,1,-2,1,0,4,DIFFER
IRL,IRL,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISL,ISL,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISR,ISR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISV,ISV,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1972,10,5,3,18,5,3,10,18,10,5,2,-7,0,14,DIFFER
JAM,Jamaica,Jamaica,1972,1,0,0,1,0,0,1,1,43,1,0,-1,0,2,DIFFER
JPN,Japan,Japan,1972,8,13,8,29,13,8,8,29,5,-5,5,0,0,10,DIFFER
KEN,Kenya,Kenya,1972,4,2,3,9,2,3,4,9,19,2,-1,-1,0,4,DIFFER
KOR,South Korea,South Korea,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
KSA,KSA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KUW,KUW,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LBR,LBR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LES,LES,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIB,Lebanon,Lebanon,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
LIE,LIE,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAD,MAD,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAR,MAR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAS,MAS,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAW,MAW,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
MGL,Mongolia,Mongolia,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
MLI,MLI,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLT,MLT,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MYA,MYA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NCA,NCA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1972,1,3,1,5,3,1,1,5,16,-2,2,0,0,4,DIFFER
NEP,NEP,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NGR,Nigeria,Nigeria,1972,1,0,0,1,0,0,1,1,43,1,0,-1,0,2,DIFFER
NIG,Niger,Niger,1972,1,0,0,1,0,0,1,1,43,1,0,-1,0,2,DIFFER
NOR,Norway,Norway,1972,1,2,1,4,2,1,1,4,21,-1,1,0,0,2,DIFFER
NZL,New Zealand,New Zealand,1972,1,1,1,3,1,1,1,3,23,0,0,0,0,0,MATCH
PAK,Pakistan,Pakistan,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
PAN,PAN,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAR,PAR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PER,PER,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,PHI,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1972,9,7,5,21,7,5,9,21,7,2,2,-4,0,8,DIFFER
POR,POR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PRK,North Korea,North Korea,1972,3,1,1,5,1,1,3,5,22,2,0,-2,0,4,DIFFER
PUR,PUR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ROU,Romania,Romania,1972,7,3,6,16,3,6,7,16,13,4,-3,-1,0,8,DIFFER
SEN,SEN,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SGP,SGP,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SMR,SMR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SOM,SOM,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRI,SRI,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUD,SUD,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1972,0,0,3,3,0,3,0,3,26,0,-3,3,0,6,DIFFER
SUR,SUR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SWE,Sweden,Sweden,1972,6,4,6,16,4,6,6,16,11,2,-2,0,0,4,DIFFER
SWZ,SWZ,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SYR,SYR,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TAN,TAN,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TCH,Czechoslovakia,Czechoslovakia,1972,2,2,4,8,2,4,2,8,18,0,-2,2,0,4,DIFFER
THA,THA,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TOG,TOG,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TPE,TPE,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TTO,TTO,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TUN,Tunisia,Tunisia,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
TUR,Turkey,Turkey,1972,0,0,1,1,0,1,0,1,33,0,-1,1,0,2,DIFFER
UGA,Uganda,Uganda,1972,0,1,1,2,1,1,0,2,24,-1,0,1,0,2,DIFFER
URS,Soviet Union,Soviet Union,1972,22,50,27,99,50,27,22,99,1,-28,23,5,0,56,DIFFER
URU,URU,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1972,30,33,31,94,33,31,30,94,2,-3,2,1,0,6,DIFFER
VEN,VEN,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VNM,VNM,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YUG,Yugoslavia,Yugoslavia,1972,2,2,1,5,2,1,2,5,20,0,1,-1,0,2,DIFFER
ZAM,ZAM,,1972,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AHO,AHO,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AND,AND,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANT,ANT,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,ARG,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUS,Australia,Australia,1976,4,0,1,5,0,1,4,5,32,4,-1,-3,0,8,DIFFER
AUT,Austria,Austria,1976,1,0,0,1,0,0,1,1,37,1,0,-1,0,2,DIFFER
BAH,BAH,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BAR,BAR,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BEL,Belgium,Belgium,1976,3,0,3,6,0,3,3,6,28,3,-3,0,0,6,DIFFER
BER,Bermuda,Bermuda,1976,1,0,0,1,0,0,1,1,37,1,0,-1,0,2,DIFFER
BIZ,BIZ,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOL,BOL,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,1976,2,0,0,2,0,0,2,2,36,2,0,-2,0,4,DIFFER
BUL,Bulgaria,Bulgaria,1976,7,6,9,22,6,9,7,22,7,1,-3,2,0,6,DIFFER
CAN,Canada,Canada,1976,6,0,5,11,0,5,6,11,27,6,-5,-1,0,12,DIFFER
CAY,CAY,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHI,CHI,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CIV,CIV,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CMR,CMR,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,COL,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRC,CRC,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,Cuba,Cuba,1976,3,6,4,13,6,4,3,13,8,-3,2,1,0,6,DIFFER
DEN,Denmark,Denmark,1976,2,1,0,3,1,0,2,3,24,1,1,-2,0,4,DIFFER
DOM,DOM,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ECU,ECU,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EGY,EGY,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,1976,0,0,2,2,0,2,0,2,30,0,-2,2,0,4,DIFFER
FIJ,FIJ,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,1976,0,4,2,6,4,2,0,6,11,-4,2,2,0,8,DIFFER
FRA,France,France,1976,4,2,3,9,2,3,4,9,15,2,-1,-1,0,4,DIFFER
FRG,West Germany,West Germany,1976,17,10,12,39,10,12,17,39,4,7,-2,-5,0,14,DIFFER
GBR,Great Britain,Great Britain,1976,5,3,5,13,3,5,5,13,13,2,-2,0,0,4,DIFFER
GDR,East Germany,East Germany,1976,25,40,25,90,40,25,25,90,2,-15,15,0,0,30,DIFFER
GRE,GRE,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUA,GUA,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,HKG,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HON,HON,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,1976,13,4,5,22,4,5,13,22,10,9,-1,-8,0,18,DIFFER
INA,INA,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IND,IND,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IRI,Iran,Iran,1976,1,0,1,2,0,1,1,2,33,1,-1,0,0,2,DIFFER
IRL,IRL,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISL,ISL,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISR,ISR,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISV,ISV,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1976,4,2,7,13,2,7,4,13,14,2,-5,3,0,10,DIFFER
JAM,Jamaica,Jamaica,1976,0,1,1,2,1,1,0,2,21,-1,0,1,0,2,DIFFER
JPN,Japan,Japan,1976,10,9,6,25,9,6,10,25,5,1,3,-4,0,8,DIFFER
KOR,South Korea,South Korea,1976,4,1,1,6,1,1,4,6,19,3,0,-3,0,6,DIFFER
KSA,KSA,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KUW,KUW,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIB,LIB,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIE,LIE,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAR,MAR,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAS,MAS,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,1976,1,1,0,2,1,0,1,2,25,0,1,-1,0,2,DIFFER
MGL,Mongolia,Mongolia,1976,0,0,1,1,0,1,0,1,34,0,-1,1,0,2,DIFFER
MON,MON,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NCA,NCA,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1976,3,0,2,5,0,2,3,5,29,3,-2,-1,0,6,DIFFER
NEP,NEP,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,1976,0,1,1,2,1,1,0,2,21,-1,0,1,0,2,DIFFER
NZL,New Zealand,New Zealand,1976,1,2,1,4,2,1,1,4,18,-1,1,0,0,2,DIFFER
PAK,Pakistan,Pakistan,1976,1,0,0,1,0,0,1,1,37,1,0,-1,0,2,DIFFER
PAN,PAN,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAR,PAR,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PER,PER,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,PHI,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PNG,PNG,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1976,13,7,6,26,7,6,13,26,6,6,1,-7,0,14,DIFFER
POR,Portugal,Portugal,1976,0,0,2,2,0,2,0,2,30,0,-2,2,0,4,DIFFER
PRK,North Korea,North Korea,1976,0,1,1,2,1,1,0,2,21,-1,0,1,0,2,DIFFER
PUR,Puerto Rico,Puerto Rico,1976,1,0,0,1,0,0,1,1,37,1,0,-1,0,2,DIFFER
ROU,Romania,Romania,1976,14,4,9,27,4,9,14,27,9,10,-5,-5,0,20,DIFFER
SEN,SEN,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SGP,SGP,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SMR,SMR,,1976,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
